fiscal_year,scenario,operating_budget_usd_millions,muni_tax_rate_per_1000,tag,assumption
2025,actual,8.37,5.62,R/D,"FY2025 base derived from FY2026 +6.8%; 2025 muni rate actual"
2026,actual,8.94,5.62,R,"$8.94M operating budget; +6.8% YoY"
2027,low,9.30,5.95,M,"4.0%/yr growth, flat valuation"
2028,low,9.67,6.15,M,"4.0%/yr growth, flat valuation"
2029,low,10.06,6.30,M,"4.0%/yr growth, flat valuation"
2030,low,10.46,6.45,M,"4.0%/yr growth, flat valuation"
2027,base,9.48,6.05,M,"6.0%/yr growth, flat valuation"
2028,base,10.04,6.40,M,"6.0%/yr growth, flat valuation"
2029,base,10.65,6.55,M,"6.0%/yr growth, flat valuation"
2030,base,11.29,6.90,M,"6.0%/yr growth, flat valuation"
2027,high,9.66,6.10,M,"8.0%/yr growth, flat valuation"
2028,high,10.43,6.55,M,"8.0%/yr growth, flat valuation"
2029,high,11.26,6.75,M,"8.0%/yr growth, flat valuation"
2030,high,12.16,7.15,M,"8.0%/yr growth, flat valuation"
