pain_id,pain,evidence,trajectory,vault_read,source
P1,Administrative instability (TA churn),"Branley resigned Jan 2025 (to Windham); Alex Torpey/Rethink Local interim; Rautiola hired Apr 2025, resigning Jul 2026 after ~1yr",worsening,"3 administrators in ~2 years; every initiative restarts; institutional memory bleeds. Top systemic risk.",news
P2,Capital paralysis at the 3/5 wall,"Public Works Facility failed 2024 (702-582, 54.7%) and 2026 ($1.2M, 681-485, 58.4%); both had majorities",chronic,"Bonds keep dying at 3/5 while reserves/credits pass easily (veterans 89.5%, reserves 72-82%). Structural, not popular, failure.",annual_report+news
P3,Budget-approval support eroding,"Operating budget support fell 76.6% (2015) -> 68.3% (2016) -> 62.2% (2023) -> 58.3% (2024) -> 57.3% (2025)",worsening,"Approaching the 50% cliff; a budget failure is plausible within ~3 cycles.",annual_report
P4,The default-budget lever is gone,"Default now ~= proposed: 2025 gap only $47k (0.5%). In 2016 & 2017 the default EXCEEDED the proposal",structural,"'Vote no to save money' no longer works; fight shifts to special/capital articles.",annual_report
P5,Development & land-use conflict + litigation,"Avanru 74-unit senior housing denied CDBG after 7yrs -> federal lawsuit alleging boards relied on opposition not criteria; Base Hill Rd storage facility multi-year dispute",active,"NIMBY + legal exposure; chills housing and economic development.",news
P6,Aging water infrastructure / utility takeover,"2025 votes: acquire West Swanzey water assets (822-553), West Swanzey TIF, $3.5M & $6.4M water appropriations, $100k SRF study (100% principal forgiveness)",rising,"Town is absorbing a utility - big capital + ratepayer governance now on the books.",annual_report
P7,Bridge & heritage-asset disputes,"Christian Hill Road bridge demolition controversy; citizen petitions to preserve/study",episodic,"Permanent-retention heritage assets generate recurring petitioned fights.",news+annual_report
P8,Governance-structure churn,"2025: board expanded 3->5 (740-653); second polling location rejected (673-727); 2026: SB2 repeal rejected (809-345)",active,"Voters add oversight (more selectmen) but keep SB2 and resist more polling; unsettled governance identity.",annual_report+news
P9,Cost-driver escalation (wages/health/EMS),"Officials cite wages, health insurance, insurance premiums, ambulance contract; ambulance trust funded 2025 (1060-350)",worsening,"Non-discretionary drivers push the budget ~6-7%/yr regardless of service level.",news+annual_report
P10,Electoral volatility,"2026 incumbents challenged/defeated; recounts (public works 678->681); crowded selectman fields",rising,"Low institutional continuity compounds P1 administrative churn.",news+annual_report
